sirname;age;salary;Department;gender
Allen;21;18000;Public Relations;female
Ayala;23;15550;Information Technology;female
Bailey;56;24200;Public Relations;female
Baker;28;22600;Information Technology;female
Bennett;75;13000;Human Resources;female
Bennett;25;14600;Accounting Department;male
Black;23;10950;Accounting Department;male
Briggs;51;19850;Public Relations;female
Brooks;70;15650;Accounting Department;female
Butler;23;23000;Public Relations;female
Butler;31;14950;Research & Development;female
Byrne;72;14500;Accounting Department;male
Byrne;54;18900;Human Resources;male
Caldwell;32;18850;Accounting Department;female
Carson;66;20950;Research & Development;female
Castillo;34;23400;Information Technology;female
Clark;36;15550;Accounting Department;male
Coates;63;23750;Information Technology;male
Cole;52;15250;Human Resources;female
Coleman;70;17200;Research & Development;male
Collins;62;19700;Research & Development;male
Cummings;19;15150;Human Resources;female
Daniel;21;17000;Public Relations;male
Davis;52;16750;Accounting Department;male
Day;49;23350;Public Relations;female
Diaz;38;17400;Information Technology;female
Dominguez;48;24250;Public Relations;female
Drake;57;21600;Accounting Department;female
Duncan;51;15550;Public Relations;male
Edwards;19;16550;Information Technology;male
Edwards;47;15200;Research & Development;male
Flores;60;19250;Accounting Department;female
Fowler;28;23250;Information Technology;female
Franklin;44;20500;Information Technology;female
Garza;29;36400;Information Technology;male
George;23;19500;Information Technology;female
Gonzales;38;13400;Human Resources;female
Gonzalez;68;12150;Research & Development;female
Graham;51;22500;Information Technology;male
Grant;23;19600;Accounting Department;female
Gray;18;18400;Information Technology;female
Griffith;38;12900;Human Resources;female
Griffiths;42;22250;Public Relations;female
Guzman;32;27900;Information Technology;female
Hall;56;17950;Information Technology;female
Hall;49;16400;Information Technology;male
Hancock;34;19700;Information Technology;female
Harris;44;23700;Information Technology;female
Harris;40;18600;Research & Development;female
Harvey;41;23150;Public Relations;male
Henderson;42;14550;Human Resources;male
Howell;62;12600;Human Resources;female
Hughes;45;25750;Human Resources;female
Hughes;36;19000;Information Technology;male
Hutchinson;68;12450;Accounting Department;male
Jacobs;35;19250;Research & Development;female
James;61;19550;Information Technology;male
Jefferson;66;20350;Information Technology;female
Jenkins;30;14750;Information Technology;male
Jennings;70;26400;Information Technology;female
Jensen;32;37600;Information Technology;female
Johnson;55;23150;Information Technology;female
Johnson;72;18500;Information Technology;female
Jones;57;18000;Information Technology;male
Kelly;37;26650;Information Technology;male
Lane;38;16550;Research & Development;female
Le;27;22800;Information Technology;female
Lee;37;14000;Information Technology;female
Malone;73;19700;Accounting Department;male
Mann;41;13700;Accounting Department;female
Martin;30;22850;Information Technology;male
Martinez;25;14950;Accounting Department;female
Mcfarlane;73;10550;Accounting Department;male
Mckinney;30;20350;Public Relations;male
Miller;59;20600;Information Technology;male
Moore;54;18350;Information Technology;female
Morales;71;17400;Information Technology;female
Moreno;21;21250;Information Technology;female
Morgan;72;21750;Accounting Department;female
Morris;39;14800;Research & Development;female
Morton;29;13900;Public Relations;male
Murphy;36;18600;Information Technology;female
Nelson;74;10400;Accounting Department;male
Nelson;74;16150;Public Relations;female
Parker;25;18100;Accounting Department;male
Perez;41;18400;Research & Development;male
Peterson;45;16900;Information Technology;female
Pham;42;12700;Human Resources;female
Phillips;51;18500;Research & Development;male
Powell;56;20750;Research & Development;female
Powell;19;14200;Public Relations;male
Pratt;41;13700;Accounting Department;male
Price;53;11600;Human Resources;male
Price;45;21550;Research & Development;female
Richardson;44;14150;Human Resources;female
Riley;45;19000;Accounting Department;male
Rios;39;20650;Research & Development;female
Rivera;23;13600;Information Technology;female
Rivera;31;16950;Human Resources;female
Roberts;45;14000;Accounting Department;male
Robinson;67;24300;Public Relations;female
Rogers;63;17850;Research & Development;female
Rowland;26;13850;Human Resources;male
Russell;63;13000;Accounting Department;male
Sanchez;52;20600;Information Technology;male
Sanchez;26;14100;Public Relations;female
Sanchez;60;13000;Research & Development;female
Sandoval;66;17400;Public Relations;male
Scott;28;14750;Public Relations;male
Smith;50;23750;Information Technology;female
Stewart;65;19050;Human Resources;male
Thorne;55;14150;Human Resources;female
Torres;59;14300;Information Technology;female
Warren;44;12900;Accounting Department;male
Washington;26;14600;Information Technology;female
Waters;48;21000;Research & Development;female
Williams;41;23300;Information Technology;female
Williamson;29;21350;Research & Development;male
Wilson;70;18550;Information Technology;male
Wolf;60;18150;Accounting Department;female
